"FA番号","都道府県名","CATFlag","ILLflag","CopyService","LoanService","FAXservice","ILLStatus","館名","住所"
"FA005813","01","A","A","A","A","N","A","東海大学 付属図書館 札幌図書館","北海道札幌市南区南沢5条1-1-1"
"FA005824","13","A","A","A","A","N","N","東海大学 付属図書館 代々木図書館","東京都渋谷区富ケ谷2-28-4"
"FA005835","14","A","A","A","A","A","A","東海大学 付属図書館 伊勢原図書館","神奈川県伊勢原市下糟屋143"
"FA005890","22","A","A","A","A","N","A","東海大学 付属図書館 清水図書館","静岡県静岡市清水区折戸3-20-1"
"FA005915","13","A","A","A","A","A","A","東京医科大学 図書館","東京都新宿区西新宿6-7-1"
"FA005926","13","A","A","A","N","C","A","東京医科大学 図書館分館","東京都新宿区新宿6-1-1"
"FA005937","13","A","A","A","A","A","N","東京音楽大学 付属図書館","東京都豊島区南池袋3丁目4番5号"
"FA005948","13","A","A","A","A","N","N","東京家政大学 図書館","東京都板橋区加賀1-18-1"
"FA005959","13","A","A","N","N","N","A","東京家政学院大学 附属図書館","東京都町田市相原町2600"
"FA005970","13","A","A","A","A","N","A","東京経済大学 図書館","東京都国分寺市南町1-7-34"
"FA005981","13","A","A","A","A","A","A","東京歯科大学 図書館","東京都千代田区神田三崎町2-9-18"
"FA005992","13","A","A","A","A","A","A","東京慈恵会医科大学 学術情報センター","東京都港区西新橋3-25-8"
"FA006000","13","A","A","C","N","N","N","東京慈恵会医科大学 学術情報センター図書館 国領分館","東京都調布市国領町8-3-1"
"FA006011","13","A","A","N","N","N","N","東京女子大学 図書館","東京都杉並区善福寺2-6-1"
"FA006022","13","A","A","A","A","N","A","東京女子医科大学 図書館","東京都新宿区河田町8-1"
"FA006033","13","A","A","A","N","N","N","東京女子体育大学 附属図書館","東京都国立市富士見台4-30-1"
"FA006044","13","A","A","A","N","N","N","東京神学大学 図書館","東京都三鷹市大沢3-10-30"
"FA006055","13","A","A","A","A","A","N","東京造形大学 図書館","東京都八王子市宇津貫町1556"
"FA006066","13","A","A","A","A","N","A","東京電機大学 総合メディアセンター 千住センター","東京都足立区千住旭町5番"
"FA006077","11","A","A","C","C","N","A","東京電機大学 総合メディアセンター 鳩山センター","埼玉県比企郡鳩山町石坂"
"FA006088","13","A","A","A","A","N","N","東京農業大学 図書館","東京都世田谷区桜丘1-1-1"
"FA006099","13","A","A","A","A","C","N","東京薬科大学 図書館","東京都八王子市堀之内1432-1"
"FA006102","13","A","A","A","A","N","N","東京理科大学 神楽坂図書館","東京都新宿区神楽坂1-3"
"FA006113","12","A","A","A","A","N","N","東京理科大学 野田図書館","千葉県野田市山崎2641"
"FA006135","13","A","A","A","A","C","A","東邦大学 医学メディアセンター","東京都大田区大森西5-21-16"
"FA006146","13","A","A","A","N","N","N","東邦大学 医学メデイアセンター大橋病院 図書室","東京都目黒区大橋2-22-36"
"FA006157","12","A","A","A","A","A","A","東邦大学 習志野メディアセンター","千葉県船橋市三山2-2-1"
"FA006168","13","A","A","A","A","A","N","桐朋学園大学 附属図書館","東京都調布市調布ヶ丘3-3-5"
"FA006179","13","A","A","A","A","N","A","東洋大学 附属図書館","東京都文京区白山5-28-20"
"FA006190","11","A","A","A","A","N","A","東洋大学 附属図書館 朝霞図書館","埼玉県朝霞市岡48-1"
"FA006204","11","A","A","A","A","N","A","東洋大学 附属図書館 川越図書館","埼玉県川越市鯨井2100"
"FA006215","13","A","A","A","A","N","A","二松學舎大学 附属図書館(九段)","東京都千代田区三番町6-16"
"FA006226","13","A","A","N","N","N","N","日本大学 総合学術情報センター","埼玉県所沢市中富南4-25"
"FA006237","13","A","A","N","N","N","N","日本大学 文理学部図書館","東京都世田谷区桜上水3-25-40"
"FA006248","13","A","A","A","A","N","A","日本大学 法学部図書館","東京都千代田区神田三崎町2-3-1"
"FA006259","13","A","A","A","A","N","N","日本大学 経済学部図書館","東京都千代田区神田三崎町1-3-2"
"FA006270","13","A","A","N","N","N","N","日本大学 商学部図書館","東京都世田谷区砧5-2-1"
"FA006281","12","A","A","A","A","N","N","日本大学 理工学部図書館(船橋)","千葉県船橋市習志野台7-24-1"
"FA006292","13","A","A","A","A","N","N","日本大学 理工学部図書館 (駿河台)","東京都千代田区神田駿河台1-8-14"
"FA006306","13","A","A","A","A","N","A","日本大学 医学部図書館","東京都板橋区大谷口上町30-1"
"FA006317","13","A","A","N","N","N","N","日本大学 歯学部図書館","東京都千代田区神田駿河台1-8-13"
"FA006328","12","A","A","A","A","N","A","日本大学 松戸歯学部図書館","千葉県松戸市栄町西2-870-1"
"FA006339","07","A","A","A","A","N","A","日本大学 工学部図書館","福島県郡山市田村町徳定字中河原1"
"FA006361","12","A","A","N","N","N","A","日本大学 生産工学部図書館","千葉県習志野市泉町1-2-1"
"FA006372","22","A","A","A","A","N","A","日本大学 図書館 国際関係学部分館","静岡県三島市文教町2-31-145"
"FA006383","13","A","A","A","A","N","N","日本大学 芸術学部図書館 (江古田)","東京都練馬区旭丘2-42-1"
"FA006394","13","A","A","A","A","N","A","日本医科大学 中央図書館","東京都文京区千駄木1-1-5"
"FA006419","14","N","N","N","N","N","N","日本医科大学 武蔵小杉病院 図書室","神奈川県川崎市中原区小杉町1-396"
"FA006430","13","A","N","A","N","N","A","日本医科大学 多摩永山病院 図書室","東京都多摩市永山1-7-1"
"FA006441","13","A","A","A","A","N","N","日本医科大学 武蔵境校舎図書室","東京都武蔵野市境南1-7-1"
"FA006452","13","A","A","A","A","A","A","日本歯科大学 生命歯学部図書館","東京都千代田区富士見1-9-20"
"FA006463","15","A","A","A","A","N","N","日本歯科大学 新潟生命歯学部図書館","新潟県新潟市中央区浜浦町1-8"
"FA006474","13","A","A","A","A","N","A","日本社会事業大学 附属図書館","東京都清瀬市竹丘3-1-30"
"FA006485","13","A","A","A","A","N","A","日本獣医生命科学大学 付属図書館","東京都武蔵野市境南町1-7-1"
"FA006496","13","A","A","A","A","N","N","日本女子大学 図書館","東京都文京区目白台2-8-1"
"FA006510","13","A","A","A","N","N","N","日本女子体育大学 附属図書館","東京都世田谷区北烏山8-19-1"
"FA006521","13","A","A","N","N","N","N","日本体育大学 図書館","東京都世田谷区深沢7-1-1"
"FA006532","13","A","A","N","N","N","N","日本文化大學 図書館",""
"FA006543","13","A","A","A","A","A","N","ルーテル学院大学 図書館","東京都三鷹市大沢3-10-20"
"FA006554","13","A","A","A","A","N","N","文化学園大学 図書館","東京都渋谷区代々木3-22-1"
"FA006565","13","A","A","A","A","A","N","法政大学 図書館","東京都千代田区富士見2-17-1"
"FA006576","13","A","A","A","A","N","N","法政大学 小金井図書館","東京都小金井市梶野町3-7-2"
"FA006587","13","A","N","A","N","N","N","法政大学 大原社会問題研究所","東京都町田市相原町4342"
"FA006598","13","A","A","N","N","N","N","法政大学 沖縄文化研究所","東京都千代田区富士見2-17-1"
"FA006601","13","A","A","N","N","N","N","法政大学 日本統計研究所","東京都町田市相原4342"
"FA006612","13","A","A","A","A","N","A","星薬科大学 図書館","東京都品川区荏原2-4-41"
"FA006623","13","A","A","A","A","N","N","武蔵大学 図書館","東京都練馬区豊玉上1-26-1"
"FA006634","13","A","A","N","N","N","N","東京都市大学 世田谷キャンパス 図書館","東京都世田谷区玉堤1-28-1"
"FA006645","13","A","A","A","A","A","A","武蔵野音楽大学 図書館","東京都練馬区羽沢1丁目13-1"
"FA006656","13","A","A","N","N","N","A","武蔵野大学 武蔵野図書館","東京都西東京市新町1-1-20"
"FA006667","13","A","A","A","N","N","N","武蔵野美術大学 美術館・図書館","東京都小平市小川町1-736"
"FA006678","13","A","A","A","A","N","N","明治大学 図書館","東京都千代田区神田駿河台1-1"
"FA006714","13","A","A","N","N","N","N","明治学院大学 図書館","東京都港区白金台1-2-37"
"FA006725","13","A","A","N","N","N","A","明治薬科大学 図書館","東京都清瀬市野塩2-522-1"
"FA006747","13","A","A","A","A","N","N","明星大学 日野校舎図書館","東京都日野市程久保2-1-1"
"FA006758","13","A","A","N","N","N","N","立教大学 図書館","東京都豊島区西池袋3-34-1"
"FA006769","13","A","A","A","A","N","A","立正大学図書館 品川図書館","東京都品川区大崎4-2-16"
"FA006780","11","A","A","A","A","N","A","立正大学図書館 熊谷図書館","埼玉県熊谷市万吉1700"
"FA006791","13","A","A","A","A","N","N","和光大学 附属梅根記念図書・情報館","東京都町田市金井町2160"
"FA006805","13","A","A","A","A","A","N","早稲田大学 図書館 (中央図書館)","東京都新宿区西早稲田1-6-1"
"FA006816","13","A","A","N","N","N","A","早稲田大学 理工学図書館","東京都新宿区大久保3-4-1"
"FA006827","14","A","A","N","N","N","N","麻布大学 附属学術情報センター","神奈川県相模原市中央区淵野辺1-17-71"
"FA006838","14","A","A","A","N","N","A","神奈川工科大学 附属図書館","神奈川県厚木市下荻野1030"
"FA006849","14","A","A","A","A","N","N","神奈川大学 図書館","神奈川県横浜市神奈川区六角橋3-27-1"
"FA006860","14","A","A","A","A","N","A","神奈川歯科大学 図書館","神奈川県横須賀市稲岡町82"
"FA006871","14","A","A","N","N","N","N","関東学院大学 図書館","神奈川県横浜市金沢区六浦東1-50-1"
"FA006882","14","A","A","A","A","N","A","鎌倉女子大学 図書館","神奈川県鎌倉市大船6-1-3"
"FA006893","14","A","A","A","A","N","A","湘南工科大学 附属図書館","神奈川県藤沢市辻堂西海岸1-1-25"
"FA006907","14","A","A","A","A","N","N","相模女子大学 附属図書館","神奈川県相模原市南区文京2-1-1"
"FA006918","14","A","A","A","A","N","N","産業能率大学 図書館","神奈川県伊勢原市上粕屋1573"
"FA006929","14","A","A","N","N","N","N","昭和音楽大学 附属図書館","神奈川県川崎市麻生区上麻生1-11-1"
"FA006940","14","A","A","A","A","N","A","聖マリアンナ医科大学 医学情報センター","神奈川県川崎市宮前区菅生2-16-1"
"FA006951","14","A","A","A","A","N","A","洗足学園音楽大学 洗足こども短期大学 附属図書館","神奈川県川崎市高津区久本2-3-1"
"FA006962","14","A","A","A","A","N","A","鶴見大学 図書館","神奈川県横浜市鶴見区鶴見2-1-3"
"FA006973","14","A","A","A","A","N","A","東京工芸大学 図書館","神奈川県厚木市飯山1583"
"FA006984","14","A","A","A","A","N","A","フェリス女学院大学 附属図書館","神奈川県横浜市泉区緑園4-5-3"
"FA006995","14","A","A","N","N","N","A","横浜商科大学 図書館","横浜市鶴見区東寺尾4-11-1"
"FA007003","15","A","A","A","A","A","A","国際大学 松下図書・情報センター","新潟県南魚沼市国際町777"
"FA007014","15","A","A","A","N","N","A","新潟薬科大学 附属図書館","新潟県新潟市秋葉区東島265番地1"
"FA007025","17","A","A","A","A","N","A","金沢医科大学 図書館","石川県河北郡内灘町大学1-1"
"FA007036","17","A","A","N","N","N","N","金沢星稜大学 図書館","石川県金沢市御所町丑10番地1"
"FA007047","17","A","A","N","N","N","N","金沢工業大学 ライブラリーセンター","石川県野々市市扇が丘7-1"
"FA007058","17","A","A","A","A","N","A","北陸大学 図書館 薬学部分館","石川県金沢市金川町ホ3番地"
"FA007069","18","A","A","A","A","A","A","福井工業大学 図書館","福井県福井市学園3-6-1"
"FA007080","19","A","A","A","A","N","A","山梨学院大学 総合図書館","山梨県甲府市酒折二丁目4-5"
"FA007091","20","A","A","A","A","N","A","長野大学 附属図書館","長野県上田市下之郷658-1"
"FA007105","20","A","A","A","A","A","A","松本歯科大学 図書館","長野県塩尻市広丘郷原1780"
"FA007116","21","A","A","A","A","N","A","岐阜協立大学 図書館","岐阜県大垣市北方町5-50"
"FA007127","21","A","A","A","A","A","A","朝日大学 図書館","岐阜県瑞穂市穂積1851-1"
"FA007138","21","A","A","N","N","N","N","岐阜女子大学 図書館","岐阜県岐阜市太郎丸80番地"
"FA007149","21","A","A","A","A","N","A","岐阜聖徳学園大学 羽島キャンパス図書館","岐阜市柳津町高桑西一丁目1番地"
"FA007160","21","A","A","N","N","N","N","東海学院大学・東海学院大学短期大学部 附属図書館","岐阜県各務原市那加桐野町5-68"
"FA007171","22","A","A","A","A","N","A","常葉大学 附属図書館(瀬名)","静岡県静岡市葵区瀬名一丁目22番1号"
"FA007182","23","A","A","A","A","N","N","愛知大学 豊橋図書館","愛知県豊橋市町畑町1-1"
"FA007193","23","A","A","A","A","N","A","愛知大学 車道図書館","愛知県名古屋市東区筒井二丁目10-31"
"FA007207","23","A","A","A","A","A","A","愛知医科大学 総合学術情報センター","愛知県長久手市岩作雁又1番地1"
"FA007218","23","A","A","A","A","N","A","愛知学院大学 図書館 情報センター","愛知県日進市岩崎町阿良池12"
"FA007229","23","A","A","A","N","N","A","愛知学院大学 歯学・薬学図書館情報センター","愛知県名古屋市千種区楠元町1-100"
"FA007240","23","A","A","A","A","A","A","愛知学泉大学 岡崎図書館","愛知県岡崎市舳越町上川成28"
"FA007251","23","A","A","A","A","N","A","愛知工業大学 附属図書館","愛知県豊田市八草町八千草1247"
"FA007262","23","A","A","A","A","N","A","愛知淑徳大学 図書館","愛知県長久手市片平二丁目9"
"FA007273","23","A","A","A","A","N","A","金城学院大学 図書館","愛知県名古屋市守山区大森二丁目1723番地"
"FA007284","23","A","A","A","A","N","A","椙山女学園大学 中央図書館","愛知県名古屋市千種区星が丘元町17-3"
"FA007295","23","A","A","A","A","N","N","大同大学 図書館","愛知県名古屋市南区滝春町10-3"
"FA007309","23","A","A","A","A","N","A","中京大学 図書館","愛知県名古屋市昭和区八事本町101-2"
"FA007320","23","A","A","A","A","N","A","中京大学 豊田図書館","愛知県豊田市貝津町床立101"
"FA007331","23","A","A","A","A","N","A","至学館大学 附属図書館","愛知県大府市横根町名高山55"
"FA007342","23","A","A","A","A","N","N","中部大学 附属三浦記念図書館","愛知県春日井市松本町1200"
"FA007353","23","A","A","A","A","N","A","同朋大学・名古屋音楽大学 図書館","愛知県名古屋市中村区稲葉地町7-1"
"FA007364","23","A","A","A","A","N","A","豊田工業大学 総合情報センター","愛知県名古屋市天白区久方二丁目12-1"
"FA007375","23","A","A","A","A","N","A","名古屋学院大学 学術情報センター","愛知県瀬戸市上品野町1350"
"FA007386","23","A","A","A","A","N","A","名古屋経済大学 図書館","愛知県犬山市字樋池61-22"
"FA007397","23","A","A","N","N","N","N","名古屋芸術大学 附属図書館 西キャンパス図書館","愛知県北名古屋市徳重西沼65"
"FA007400","23","A","A","A","A","N","A","名古屋商科大学 中央情報センター","愛知県日進市米野木町三ケ峯4-4"
"FA007411","23","A","A","A","A","N","A","名古屋女子大学 学術情報センター","愛知県名古屋市瑞穂区汐路町3-40"
"FA007433","23","A","A","A","A","N","N","南山大学 図書館","愛知県名古屋市昭和区山里町18"
"FA007444","23","A","A","A","A","N","N","日本福祉大学 付属図書館","愛知県知多郡美浜町奥田"
"FA007455","23","A","A","A","A","A","A","藤田医科大学 図書館","愛知県豊明市沓掛町田楽ケ窪1-98"
"FA007466","23","A","A","A","A","N","A","名城大学 附属図書館","愛知県名古屋市天白区塩釜口1-501"
"FA007477","23","A","A","A","N","N","A","名城大学 附属図書館 薬学部分館","愛知県名古屋市天白区八事山150"
"FA007488","24","A","A","A","A","N","A","皇學館大学 附属図書館","三重県伊勢市神田久志本町1704"
"FA007502","26","A","A","A","A","N","A","大谷大学 図書館","京都府京都市北区小山上総町"
"FA007513","26","A","A","A","A","A","A","京都外国語大学 付属図書館","京都府京都市右京区西院笠目町6"
"FA007524","26","A","A","A","A","A","A","京都先端科学大学 教務センター(図書館)","京都府亀岡市曽我部町南条大谷1-1"
"FA007604","26","A","A","A","A","N","A","京都女子大学 図書館","京都市東山区今熊野北日吉町35"
"FA007615","26","A","A","N","N","N","N","京都精華大学 情報館","京都府京都市左京区岩倉木野町137"
"FA007626","26","A","A","A","N","N","A","京都薬科大学 図書館","京都府京都市山科区御陵中内町5番地"
"FA007637","26","A","A","A","A","N","A","京都光華女子大学 図書館","京都府京都市右京区西京極葛野町38番地"
"FA007648","26","A","A","A","N","N","N","種智院大学 図書館","京都府京都市伏見区向島西定請70"
"FA007659","26","A","A","N","N","N","N","京都橘大学 図書館","京都府京都市山科区大宅山田町34番地"
"FA007670","26","A","A","A","A","N","N","同志社大学 図書館","京都市上京区今出川通烏丸東入"
"FA007681","26","A","A","A","A","N","A","同志社女子大学 今出川図書館","京都市上京区今出川通寺町西入"
"FA007692","26","A","A","A","A","N","A","京都ノートルダム女子大学 図書館情報センター","京都府京都市左京区下鴨南野々神町1番地"
"FA007706","26","A","A","A","A","N","A","花園大学 情報センター(図書館)","京都府京都市中京区西ノ京壷ノ内町8-1"
"FA007717","26","A","A","A","A","N","A","佛教大学 附属図書館","京都府京都市北区紫野北花ノ坊町96"
"FA007728","26","A","A","A","N","N","A","明治国際医療大学 附属図書館","京都府南丹市日吉町"
"FA007739","26","A","A","A","A","N","N","立命館大学 図書館","京都府京都市北区等持院北町56-1"
"FA007750","26","A","A","A","A","N","N","龍谷大学 深草図書館","京都府京都市伏見区深草塚本町67"
"FA007761","26","A","A","A","A","N","N","龍谷大学 大宮図書館","京都府京都市下京区七条通大宮東入大工町125-1"
"FA007772","27","A","A","A","A","A","A","大阪医科大学 図書館","高槻市大学町2-7"
"FA007783","27","A","A","A","N","N","N","大阪音楽大学 付属図書館","大阪府豊中市庄内幸町1-1-8"
"FA007794","27","A","A","A","A","N","A","大阪学院大学 図書館","大阪府吹田市岸部南2-36-1"
"FA007808","27","A","A","A","A","A","N","大阪経済大学 図書館","大阪府大阪市東淀川区大隅2-2-8"
"FA007819","27","A","A","A","A","A","A","大阪経済法科大学 図書館","大阪府八尾市楽音寺6-10"
"FA007830","27","A","A","A","A","N","A","大阪芸術大学 図書館","大阪府南河内郡河南町東山469"
"FA007841","27","A","A","A","A","N","N","大阪工業大学 図書館","大阪府大阪市旭区大宮5-16-1"
"FA007852","27","A","A","A","A","N","N","大阪産業大学 綜合図書館","大阪府大東市中垣内3-1-1"
"FA007874","27","A","A","A","A","N","N","大阪歯科大学 図書館","大阪府枚方市楠葉花園町8番1号"
"FA007885","27","A","A","N","N","N","N","大阪樟蔭女子大学 図書館","大阪府東大阪市菱屋西4-2-26"
"FA007896","27","A","A","A","A","N","A","大阪商業大学 図書館","大阪府東大阪市御厨栄町4-1-10"
"FA007910","27","A","A","A","A","A","A","大阪体育大学 図書館","大阪府泉南郡熊取町朝代台1-1"
"FA007921","27","A","A","A","A","N","A","大阪電気通信大学 図書館","大阪府寝屋川市初町18-8"
"FA007932","27","A","A","A","N","N","A","大阪薬科大学 図書館","大阪府高槻市奈佐原4-20-1"
"FA007943","27","A","A","A","N","N","A","大阪大谷大学 図書館","大阪府富田林市錦織北3丁目11番1号"
"FA007954","27","A","A","N","N","C","N","追手門学院大学 附属図書館","大阪府茨木市西安威2-1-15"
"FA007965","27","A","A","A","A","N","N","関西大学 図書館","大阪府吹田市山手町3-3-35"
"FA007976","27","A","A","A","A","A","A","関西医科大学 附属図書館","大阪府枚方市新町2丁目5-1"
"FA008006","27","A","A","A","A","N","A","関西外国語大学 図書館 学術情報センター (中宮)","大阪府枚方市中宮東之町16-1"
"FA008017","27","A","A","A","A","A","A","関西外国語大学 図書館 学術情報センター (御殿山)","大阪府枚方市御殿山南町6番1号 LC棟1F"
"FA008028","27","A","A","A","A","N","N","近畿大学 中央図書館","大阪府東大阪市小若江3-4-1"
"FA008039","27","A","A","A","A","N","A","近畿大学 医学部図書館","大阪府大阪狭山市大野東377-2"
"FA008050","34","A","A","A","A","N","N","近畿大学 工学部図書館","広島県東広島市高屋うめの辺1番"
"FA008061","40","A","A","A","A","N","N","近畿大学 産業理工学部図書館","福岡県飯塚市柏の森11-6"
"FA008072","27","A","A","A","A","N","N","四天王寺大学 図書館","大阪府羽曳野市学園前3-2-1"
"FA008083","27","A","A","A","A","N","A","摂南大学 図書館","大阪府寝屋川市池田中町17-8"
"FA008094","27","A","A","A","A","N","A","摂南大学 図書館 枚方分館","大阪府枚方市長尾峠町45-1"
"FA008108","27","A","A","N","N","N","N","相愛大学図書館","大阪府大阪市住之江区南港中4丁目4-1"
"FA008119","27","A","A","A","A","N","A","大阪国際大学 守口図書館","大阪府守口市藤田町6-21-57"
"FA008130","27","A","A","A","A","A","A","帝塚山学院大学 図書館 狭山館","大阪府大阪狭山市今熊2丁目1823"
"FA008141","27","A","A","N","N","N","N","梅花女子大学 図書館","大阪府茨木市宿久庄2-19-5"
"FA008152","27","A","A","A","A","N","N","阪南大学 図書館","大阪府松原市天美東5-4-33"
"FA008174","27","A","A","A","A","N","A","桃山学院大学 附属図書館","大阪府和泉市まなび野1-1"
"FA008185","28","A","A","A","N","N","N","芦屋大学 図書館","兵庫県芦屋市六麓荘町13-22"
"FA008210","28","A","A","A","A","N","N","大手前大学・大手前短期大学 図書館","兵庫県西宮市御茶家所町6-42"
"FA008221","28","A","A","N","N","N","N","関西学院大学 図書館","兵庫県西宮市上ケ原一番町1-155"
"FA008232","28","A","A","A","A","A","A","甲子園大学 図書館","兵庫県宝塚市紅葉が丘10-1"
"FA008243","28","A","A","A","A","N","N","甲南大学 図書館","兵庫県神戸市東灘区岡本8-9-1"
"FA008254","28","A","A","N","N","N","N","甲南女子大学 図書館","兵庫県神戸市東灘区森北町6-2-23"
"FA008265","28","A","A","N","N","N","N","神戸海星女子学院大学 図書館","兵庫県神戸市灘区青谷町2-7-1"
"FA008276","28","A","A","A","A","N","A","神戸学院大学 図書館 有瀬館","兵庫県神戸市西区伊川谷町有瀬518"
"FA008287","28","A","A","C","C","N","A","神戸学院大学 人文学部資料室","兵庫県神戸市西区伊川谷町有瀬518番地"
"FA008301","28","A","N","N","N","N","A","神戸学院大学 経済学部資料室","兵庫県神戸市西区伊川谷町有瀬518番地"
"FA008312","28","A","A","A","A","N","N","神戸女学院大学 図書館","兵庫県西宮市岡田山4-1"
"FA008323","28","A","A","A","A","N","A","神戸女子大学 図書館","兵庫県神戸市須磨区東須磨青山2-1"
"FA008334","28","A","A","A","A","A","A","神戸薬科大学 図書館","兵庫県神戸市東灘区本山北町4-19-1"
"FA008345","28","A","A","A","A","N","N","神戸松蔭女子学院大学図書館","兵庫県神戸市灘区篠原伯母野山町 1-2-1"
"FA008356","28","A","A","N","N","N","N","神戸親和女子大学 附属図書館","兵庫県神戸市北区鈴蘭台北町7-13-1"
"FA008378","28","A","A","A","A","N","A","園田学園女子大学 図書館","兵庫県尼崎市南塚口町7-29-1"
"FA008389","28","A","A","A","A","A","N","兵庫医科大学 図書館","兵庫県西宮市武庫川町1-1"
"FA008403","28","A","A","A","A","N","A","武庫川女子大学 附属図書館","兵庫県西宮市池開町6-46"
"FA008414","28","A","A","A","A","N","A","武庫川女子大学 附属図書館 薬学分館","兵庫県西宮市甲子園九番町11-68"
"FA008425","28","A","A","N","N","N","A","神戸国際大学 情報センター(図書館)","兵庫県神戸市東灘区向洋町中9丁目1番6号"
"FA008447","29","A","A","A","N","N","A","帝塚山大学 図書館 本館 (東生駒キャンパス図書館)","奈良県奈良市帝塚山7-1-1"
"FA008458","29","A","A","A","N","N","N","天理大学 附属天理図書館","奈良県天理市杣之内町1050"
"FA008469","29","A","A","A","A","N","A","奈良大学 図書館","奈良県奈良市山陵町1500"
"FA008480","29","A","A","A","A","N","A","奈良学園大学 図書館","奈良県生駒郡三郷町立野北3-12-1"
"FA008491","30","A","A","A","A","N","A","高野山大学 図書館","和歌山県伊都郡高野町高野山385"
"FA008505","33","A","A","A","A","N","A","岡山商科大学 附属図書館","岡山県岡山市北区津島京町2-10-1 岡山商科大学 附属図書館"
"FA008516","33","A","A","A","A","N","A","岡山理科大学 図書館","岡山県岡山市北区理大町1-1"
"FA008527","33","A","A","A","A","N","A","川崎医科大学 附属図書館","岡山県倉敷市松島577"
"FA008538","33","A","A","A","A","N","N","くらしき作陽大学 附属図書館","岡山県倉敷市玉島長尾3515"
"FA008549","33","A","A","A","A","N","A","就実大学 図書館","岡山県岡山市中区西川原1-5-22"
"FA008560","33","A","A","A","A","A","A","ノートルダム清心女子大学 附属図書館","岡山県岡山市北区伊福町2-16-9"
"FA008571","33","A","A","A","A","N","A","美作大学 図書館","岡山県津山市北園町50"
"FA008582","34","A","N","A","N","N","N","エリザベト音楽大学 附属図書館","広島県広島市中区幟町4-15"
"FA008593","34","A","A","A","A","N","A","広島経済大学 図書館","広島県広島市安佐南区祇園5-37-1"
"FA008607","34","A","A","A","A","N","A","広島工業大学 附属図書館","広島県広島市佐伯区三宅2-1-1"
"FA008618","34","A","A","A","A","A","N","広島修道大学 図書館","広島県広島市安佐南区大塚東一丁目1番1号"
"FA008629","34","A","A","A","A","A","A","広島女学院大学 図書館","広島県広島市東区牛田東4-13-1"
"FA008640","34","A","A","A","A","N","N","広島国際学院大学 図書館","広島県広島市安芸区中野六丁目20-1"
"FA008651","34","A","A","A","A","A","A","広島文教大学 附属図書館","広島県広島市安佐北区可部東1-2-1"
"FA008662","34","A","A","A","A","N","A","福山大学 附属図書館","広島県福山市学園町1番地三蔵"
"FA008673","34","A","A","A","A","N","A","福山大学 附属図書館 薬学部分館","広島県福山市学園町1番地三蔵"
"FA008684","34","A","A","A","A","C","A","安田女子大学 図書館","広島県広島市安佐南区安東6-13-1"
"FA008695","35","A","A","A","A","N","A","徳山大学 図書館","山口県周南市学園台843-4-2"
"FA008709","35","A","A","A","N","N","A","東亜大学 附属図書館","山口県下関市一の宮学園町2-1"
"FA008720","35","A","A","A","N","N","A","梅光学院大学 図書館","山口県下関市向洋町1-1-1"
"FA008731","36","A","A","A","A","N","A","四国大学 附属図書館","徳島県徳島市応神町古川字戎子野123-1"
"FA008742","36","A","A","A","A","N","A","徳島文理大学 図書館","徳島県徳島市山城町西浜傍示180"
"FA008753","37","A","A","A","A","N","A","徳島文理大学 香川キャンパス附属図書館","香川県さぬき市志度1314-1"
"FA008764","37","A","A","A","A","N","A","四国学院大学 図書館","香川県善通寺市文京町3-2-1"
"FA008775","38","A","A","A","A","A","A","松山大学 図書館","愛媛県松山市文京町4-2"
"FA008786","40","A","A","A","A","N","A","九州共立大学 附属図書館","福岡県北九州市八幡西区自由ケ丘1-8"
"FA008797","40","A","A","A","A","A","A","九州産業大学 図書館","福岡県福岡市東区松香台2-3-1"
"FA008800","40","A","A","A","A","A","A","九州女子大学・九州女子短期大学 附属図書館","福岡県北九州市八幡西区自由ケ丘1-1"
"FA008811","40","A","A","A","A","A","A","久留米大学 附属図書館 御井学舎分館","福岡県久留米市御井町1635"
"FA008822","40","A","A","A","A","A","A","久留米大学 附属図書館 医学部分館","福岡県久留米市旭町67"
"FA008833","40","A","A","A","A","N","N","久留米工業大学 学術情報センター (図書館)","福岡県久留米市上津町2228"
"FA008844","40","A","A","A","A","N","A","産業医科大学 図書館","福岡県北九州市八幡西区医生ケ丘1番1号"
"FA008855","40","A","A","A","A","A","A","西南学院大学 図書館","福岡県福岡市早良区西新6-2-92"
"FA008866","40","A","A","A","A","N","N","日本経済大学 図書館・情報センター","福岡県太宰府市五条3-11-25"
"FA008877","40","A","A","A","N","N","N","第一薬科大学 図書館","福岡県福岡市南区玉川町22-1"
"FA008899","40","A","A","A","A","N","N","中村学園大学 図書館","福岡県福岡市城南区別府5-7-1"
"FA008902","40","A","A","A","A","A","A","西日本工業大学 図書館","福岡県京都郡苅田町新津1-11"
"FA008913","40","A","A","A","A","N","A","福岡大学 図書館","福岡県福岡市城南区七隈8-19-1"
"FA008924","40","A","A","A","A","A","A","福岡大学 図書館 医学部分館","福岡県福岡市城南区七隈7-45-1"
"FA008935","40","A","A","A","A","N","A","福岡工業大学 附属図書館","福岡県福岡市東区和白東3-30-1"
"FA008946","40","A","A","A","A","N","A","福岡歯科大学 情報図書館","福岡県福岡市早良区田村2丁目15-1"
"FA008957","40","A","A","A","N","N","A","九州国際大学 図書館","福岡県北九州市八幡東区平野1-6-1"
"FA008968","41","A","A","A","A","A","A","西九州大学 附属図書館","佐賀県神埼市神埼町尾崎4490-9"
